9768,9321,72,2,Lebensmitteltechnologie,Food technology,Technologie alimentaire,Tecnologia Alimentare,7915
5727,9321,73,2,Chemieingenieurwesen ,Chemical Engineering,Génie chimique,Ingegneria Chimica,7400
1892,9321,74,2,Biotechnologie,Biotechnology,Biotechnologie,Biotecnologia,
2850,9321,75,2,Umweltingenieurwesen,Environmental Engineering,Génie de l'environnement,Ingegneria Civile,
9389,9321,76,2,Bauwesen,Construction Science,Sciences de la construction,Scienze dalla Costruzione,6.1
2527,9389,77,3,Bauingenieurwesen,Civil Engineering,Génie civil,Genio Civile,7200
9738,9389,78,3,Kulturtechnik und Vermessung,Rural Engineering and Surveying,Génie rural et mensuration,Ingegneria rurale & geomatica,7800
4380,9321,79,2,Betriebs- und Produktionswissenschaften,Production and Enterprise,Production et Entreprise,Gestione della produzione e dei processi industriali,7650
8220,0,80,1,Gesundheit & Medizin,Health,Santé & Médecine,Salute & Medicina,5
5955,8220,81,2,Humanmedizin ,Human medicine,Médecine humaine,Medicina,5.1/6200
2075,8220,82,2,Zahnmedizin ,Dentistry,Odontologie,Odontoiatria,5.2/6300
3787,8220,83,2,Veterinärmedizin ,Veterinary medicine,Médecine vétérinaire,Veterinaria,5.3/6400
3424,8220,84,2,Pharmazie ,Pharmacy,Pharmacie,Farmacia,5.4/6500
5516,8220,85,2,Pflege,Nursing,Sciences infirmières,Cure infermieristiche ,6150
4864,8220,86,2,Therapie,Therapy,Thérapie,Terapia,
7072,4864,87,3,Physiotherapie,Physiotherapy,Physiothérapie,Fisioterapia,
6688,4864,88,3,Ergotherapie,Occupational therapy,Ergothérapie,Ergoterapia,
5214,0,89,1,Erziehungswissenschaften,Education,Éducation,Educazione,2100
9955,5214,90,2,Lehrkräfteausbildung,Teacher education,Formation des enseignants,Formazione degli insegnanti,
6409,9955,91,3,Vorschul- und Primarstufe allgemein,Primary school,École primaire,Scuola elementare,
7008,9955,92,3,Sekundarstufe I allgemein,Secondary school I,École secondaire I,Scuola media,1190/4103
4233,9955,93,3,Sekundarstufe II allgemein (Maturitätsschulen),Secondary school II,École secondaire II (lycée),Scuola superiore,
1672,5214,94,2,Logopädie,Logopedics,Logopédie,Logopedia,
1406,5214,95,2,Pädagogik,Pedagogy,Pédagogie,Pedagogia,
2150,1406,96,3,Sonderpädagogik ,Special education,Pédagogie spécialisée,Pedagogia speciale,2120
3822,1406,97,3,Heilpädagogik,Orthopedagogy,Pédagogie curative,Pedagogia curativa,
5889,0,98,1,Interdisziplinäre & Andere,Interdisciplinary & Other,Interdisciplinaire & Autre,Interdisciplinare & Altre,
6059,5889,99,2,Information & Dokumentation,Information & documentation,Information & documentation,Archivistica & biblioteconomia & documentazione,
8683,5889,100,2,Sport,Sport,Sport,Sport,2130
5561,5889,101,2,Militärwissenschaften,Military sciences,Sciences militaires,Scienze Militari,8000
