http://creativecommons.org/licenses/by/2.5/ch/,Namensnennung 2.5 Schweiz,Attribution 2.5 Switzerland,Paternité 2.5 Suisse,Attribution 2.5 Switzerland
http://creativecommons.org/licenses/by-nc/2.5/ch/,Namensnennung-Keine kommerzielle Nutzung 2.5 Schweiz,Attribution-Noncommercial 2.5 Switzerland,Paternité-Pas d'Utilisation Commerciale 2.5 Suisse,Attribution-Noncommercial 2.5 Switzerland
http://creativecommons.org/licenses/by-nc-nd/2.5/ch/,Namensnennung-Keine kommerzielle Nutzung-Keine Bearbeitung 2.5 Schweiz,Attribution-Noncommercial-No Derivative Works 2.5 Switzerland,Paternité-Pas d'Utilisation Commerciale-Pas de Modification 2.5 Suisse,Attribution-Noncommercial-No Derivative Works 2.5 Switzerland
http://creativecommons.org/licenses/by-nc-sa/2.5/ch/,Namensnennung-Keine kommerzielle Nutzung-Weitergabe unter gleichen Bedingungen 2.5 Schweiz,Attribution-Noncommercial-Share Alike 2.5 Switzerland,Paternité-Pas d'Utilisation Commerciale-Partage des Conditions Initiales à l'Identique 2.5 Suisse,Attribution-Noncommercial-Share Alike 2.5 Switzerland
http://creativecommons.org/licenses/by-nd/2.5/ch/,Namensnennung-Keine Bearbeitung 2.5 Schweiz,Attribution-No Derivative Works 2.5 Switzerland,Paternité-Pas de Modification 2.5 Suisse,Attribution-No Derivative Works 2.5 Switzerland
http://creativecommons.org/licenses/by-sa/2.5/ch/,Namensnennung-Weitergabe unter gleichen Bedingungen 2.5 Schweiz,Attribution-Share Alike 2.5 Switzerland,Paternité-Partage des Conditions Initiales à l'Identique 2.5 Suisse,Attribution-Share Alike 2.5 Switzerland
,Gemäss Definition im Inhalt,As defined in content,Selon définition dans le contenu ,As defined in content
